codigo_ibge,municipio,uf,dia,mes,data_referencia,criterio,confianca,campo_origem,frase_origem,fonte_historico,status_consulta
5206305,Cristianópolis,GO,23,6,23/06/1953,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Cristianópolis, pela Lei Estadual n.º 739, de 23-06-1953, desmembrado de Pires do Rio.",Cristianópolis (GO). Prefeitura. 2017. Disponível em: http://www.cristianopolis.go.gov.br/cristianopolis/historia.html. Acesso em: maio 2017.,ok
5206404,Crixás,GO,19,7,19/07/1945,elevacao_municipio,media,formacao_administrativa,"Pelo Decreto-lei Estadual n.º 55, de 19-07-1945, o distrito de Floresta é elevado à categoria de município com a denominação de Itapaci e Itacê é conduzido à condição de distrito.","CRIXÁS (GO). In: ENCICLOPÉDIA dos municípios brasileiros. Rio de Janeiro: IBGE, 1958. v. 36. p. 145. Disponível em: http://biblioteca.ibge.gov.br/visualizacao/livros/liv27295_36.pdf. Acesso em: 17 set. 2025.",ok
5206503,Cromínia,GO,12,11,12/11/1953,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Cromínia, pela Lei Estadual n.º 897, de 12-11-1953, desmembrado de Piracanjuba.",Cromínia (GO). Prefeitura. 2017. Disponível em: http://www.crominia.go.gov.br/crominia/a-cidade. Acesso em: maio 2017.,ok
5206602,Cumari,GO,10,12,10/12/1947,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Cumari, pela Lei Estadual n.º 38, de 10-12-1947, desmembrado de Goiandira.",Cumari (GO). Prefeitura (2017). Disponível em: http://www.cumari.go.gov.br. Acesso em: maio 2017.,ok
5206701,Damianópolis,GO,14,11,14/11/1958,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Damianópolis, pela Lei Estadual n.º 2.149, de 14-11-1958, desmembrado de Sítio d’Abadia.",Damianópolis (GO). Prefeitura. 2017. Disponível em: http://www.damianopolis.go.gov.br/sobre. Acesso em: mar. 2017.,ok
5206800,Damolândia,GO,14,11,14/11/1958,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Damolândia, pela Lei Estadual n.º 2.120, de 14-11-1958, desmembrado de Anápolis.",Damolândia (GO). Câmara dos Vereadores. 2017. Disponível em: http://camaradamolandia.go.gov.br/sobre-o-municipio/. Acesso em: mar. 2017.,ok
5206909,Davinópolis,GO,14,11,14/11/1963,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Davinópolis, pela Lei Estadual n.º 4.928, de 14-11-1963, desmembrado de Catalão.","Davinópolis (GO). Prefeitura. 2017. Disponível em: http://www.davinopolis.go.gov.br/historia,IF,ODM.html. Acesso em: mar. 2017.",ok
5207105,Diorama,GO,17,12,17/12/1958,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Diorama, pela Lei Estadual n.º 2.390, de 17-12-1958, desmembrado de Goiás.",Diorama (GO). Prefeitura. 2017. Disponível em: http://www.diorama.go.gov.br/pagina/id/2/?historia-do-municipio.html. Acesso em: mar. 2017.,ok
5207253,Doverlândia,GO,14,5,14/05/1982,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Doverlândia, pela Lei Estadual n.º 9.186, de 14-05-1982, desmembrado de Caiapônia.",Doverlândia (GO). Prefeitura. 2017. Disponível em: http://www.doverlandia.go.gov.br/sobre-o-municipio/nossa-historia/. Acesso em: mar. 2017.,ok
5207352,Edealina,GO,1,1,01/01/1988,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Edealina, pela Lei Estadual n.º 10.414, de 01-01-1988, desmembrado de Edéia.",Edealina (GO). Câmara Municipal. 2017. Disponível em: http://www.camaramunicipaldeedealina.com.br/crbst_3.html. Acesso em: mar 2017.,ok
